Density T
61.2	150.4
61.19	150.8
61.18	151.1
61.18	151.4
61.17	151.8
61.16	152.1
61.16	152.4
61.15	152.8
61.15	153.1
61.14	153.4
61.13	153.8
61.13	154.1
61.12	154.4
61.11	154.8
61.11	155.1
61.1	155.4
61.09	155.8
61.09	156.1
61.08	156.4
61.07	156.8
61.07	157.1
61.06	157.4
61.05	157.8
61.05	158.1
61.04	158.4
61.03	158.7
61.03	159.1
61.02	159.4
61.01	159.7
61.01	160.1
61	160.4
60.99	160.7
60.99	161.1
60.98	161.4
60.97	161.7
60.97	162.1
60.96	162.4
60.95	162.7
60.95	163.1
60.94	163.4
60.93	163.7
60.93	164.1
60.92	164.4
60.91	164.7
60.91	165.1
60.9	165.4
60.89	165.7
60.89	166.1
60.88	166.4
60.87	166.7
60.87	167.1
60.86	167.4
60.85	167.7
60.84	168.1
60.84	168.4
60.83	168.7
60.82	169.1
60.82	169.4
60.81	169.7
60.8	170.1
60.8	170.4
60.79	170.7
60.78	171.1
60.78	171.4
60.77	171.7
60.76	172.1
60.75	172.4
60.75	172.7
60.74	173.1
60.73	173.4
60.73	173.7
60.72	174.1
60.71	174.4
60.7	174.7
60.7	175.1
60.69	175.4
60.68	175.7
60.68	176
60.67	176.4
60.66	176.7
60.65	177
60.65	177.4
60.64	177.7
60.63	178
60.62	178.4
60.62	178.7
60.61	179
60.6	179.4
60.6	179.7
60.59	180
60.58	180.4
60.57	180.7
60.57	181
60.56	181.4
60.55	181.7
60.54	182
60.54	182.4
60.53	182.7
60.52	183
60.51	183.4
60.51	183.7
60.5	184
60.49	184.4
60.48	184.7
60.48	185
60.47	185.4
60.46	185.7
60.46	186
60.45	186.4
60.44	186.7
60.43	187
60.42	187.4
60.42	187.7
60.41	188
60.4	188.4
60.39	188.7
60.39	189
60.38	189.4
60.37	189.7
60.36	190
60.36	190.4
60.35	190.7
60.34	191
60.33	191.4
60.33	191.7
60.32	192
60.31	192.3
60.3	192.7
60.3	193
60.29	193.3
60.28	193.7
60.27	194
60.26	194.3
60.26	194.7
60.25	195
60.24	195.3
60.23	195.7
60.23	196
60.22	196.3
60.21	196.7
60.2	197
60.19	197.3
60.19	197.7
60.18	198
60.17	198.3
60.16	198.7
60.15	199
60.15	199.3
60.14	199.7
60.13	200
